po_id,po_date,supplier_id,material_id,quantity_ordered,quantity_received,expected_delivery_date,actual_delivery_date,is_null_po_id,is_null_po_date,is_null_supplier_id,is_null_material_id,is_null_qty_ordered,is_null_qty_received,is_null_expected_delivery,is_null_actual_delivery
PO-031,2025-02-28,SUP004,MAT016,12000,12000,2025-03-14,2025-03-14,0,0,0,0,0,0,0,0
PO-032,2025-09-09,SUP004,MAT016,12000,12000,2025-09-23,2025-09-24,0,0,0,0,0,0,0,0
PO-033,2025-01-01,SUP004,MAT017,4500,4500,2025-01-15,2025-01-16,0,0,0,0,0,0,0,0
PO-034,2025-07-31,SUP004,MAT017,7500,7500,2025-08-14,2025-08-15,0,0,0,0,0,0,0,0
PO-035,2025-01-18,SUP008,MAT018,1500,1500,2025-01-28,2025-01-28,0,0,0,0,0,0,0,0
PO-036,2025-08-05,SUP008,MAT018,1500,1500,2025-08-15,2025-08-16,0,0,0,0,0,0,0,0
PO-037,2025-04-20,SUP008,MAT019,5000,4000,2025-04-27,2025-04-29,0,0,0,0,0,0,0,0
PO-038,2025-10-08,SUP008,MAT019,6000,6000,2025-10-15,2025-10-16,0,0,0,0,0,0,0,0
PO-039,2025-04-01,SUP008,MAT020,3200,2560,2025-04-11,2025-04-13,0,0,0,0,0,0,0,0
PO-040,2025-08-23,SUP008,MAT020,3200,3200,2025-09-02,2025-09-04,0,0,0,0,0,0,0,0
PO-041,2026-01-05,SUP006,MAT001,1500,1500,2026-01-19,2026-01-21,0,0,0,0,0,0,0,0
PO-042,2026-03-05,SUP003,MAT007,1000,1000,2026-03-19,2026-03-21,0,0,0,0,0,0,0,0
PO-043,2026-02-05,SUP005,MAT011,2000,2000,2026-02-19,2026-02-21,0,0,0,0,0,0,0,0
PO-044,2026-02-05,SUP008,MAT020,1000,1000,2026-02-19,2026-02-21,0,0,0,0,0,0,0,0
PO-045,2026-01-05,SUP006,MAT002,1200,0,2026-01-19,,0,0,0,0,0,0,0,1
PO-046,2026-01-05,SUP002,MAT003,1000,1000,2026-01-19,2026-01-21,0,0,0,0,0,0,0,0
PO-047,2026-01-05,SUP001,MAT006,1500,1500,2026-01-19,2026-01-21,0,0,0,0,0,0,0,0
PO-048,2026-01-05,SUP009,MAT013,1500,1500,2026-01-19,2026-01-21,0,0,0,0,0,0,0,0
PO-049,2026-01-05,SUP007,MAT004,300,300,2026-01-19,2026-01-21,0,0,0,0,0,0,0,0
PO-050,2026-01-05,SUP008,MAT018,500,500,2026-01-19,2026-01-21,0,0,0,0,0,0,0,0
