snapshot_date,material_id,warehouse_location,quantity_on_hand,lot_expiry_date,is_null_snapshot_date,is_null_material_id,is_null_quantity
28/2/2026,MAT001,WH-A,1130,20/8/2026,0,0,0
31/3/2026,MAT001,WH-A,750,20/8/2026,0,0,0
31/1/2026,MAT002,WH-B,1200,,0,0,0
28/2/2026,MAT002,WH-B,970,,0,0,0
31/3/2026,MAT002,WH-B,740,,0,0,0
31/1/2026,MAT003,WH-C,1000,,0,0,0
28/2/2026,MAT003,WH-C,760,,0,0,0
31/3/2026,MAT003,WH-C,520,,0,0,0
31/1/2026,MAT004,WH-D,300,,0,0,0
28/2/2026,MAT004,WH-D,180,,0,0,0
31/3/2026,MAT004,WH-D,0,,0,0,0
31/1/2026,MAT005,WH-E,220,31/12/2027,0,0,0
28/2/2026,MAT005,WH-E,160,31/12/2027,0,0,0
31/3/2026,MAT005,WH-E,120,31/12/2027,0,0,0
31/1/2026,MAT006,WH-A,1500,,0,0,0
28/2/2026,MAT006,WH-A,1120,,0,0,0
31/3/2026,MAT006,WH-A,740,,0,0,0
31/1/2026,MAT007,WH-B,2850,15/4/2026,0,0,0
28/2/2026,MAT007,WH-B,2050,15/4/2026,0,0,0
31/3/2026,MAT007,WH-B,2150,15/4/2026,0,0,0
31/1/2026,MAT008,WH-C,120,20/8/2027,0,0,0
28/2/2026,MAT008,WH-C,0,,0,0,0
31/3/2026,MAT008,WH-C,0,,0,0,0
31/1/2026,MAT009,WH-D,210,15/5/2025,0,0,0
28/2/2026,MAT009,WH-D,210,15/5/2025,0,0,0
31/3/2026,MAT009,WH-D,210,15/5/2025,0,0,0
31/1/2026,MAT010,WH-E,2600,,0,0,0
28/2/2026,MAT010,WH-E,2420,,0,0,0
31/3/2026,MAT010,WH-E,2220,,0,0,0
31/1/2026,MAT011,WH-A,4995,15/4/2026,0,0,0
28/2/2026,MAT011,WH-A,6045,15/4/2026,0,0,0
31/3/2026,MAT011,WH-A,5045,15/4/2026,0,0,0
31/1/2026,MAT012,WH-B,7430,15/4/2026,0,0,0
28/2/2026,MAT012,WH-B,6930,15/4/2026,0,0,0
31/3/2026,MAT012,WH-B,6450,15/4/2026,0,0,0
31/1/2026,MAT013,WH-C,1500,,0,0,0
28/2/2026,MAT013,WH-C,1190,,0,0,0
31/3/2026,MAT013,WH-C,880,,0,0,0
31/1/2026,MAT014,WH-D,5200,15/3/2025,0,0,0
28/2/2026,MAT014,WH-D,5200,15/3/2025,0,0,0
31/3/2026,MAT014,WH-D,5200,15/3/2025,0,0,0
31/1/2026,MAT015,WH-E,2280,,0,0,0
28/2/2026,MAT015,WH-E,2000,,0,0,0
31/3/2026,MAT015,WH-E,1700,,0,0,0
31/1/2026,MAT016,WH-A,21260,20/8/2026,0,0,0
28/2/2026,MAT016,WH-A,20310,20/8/2026,0,0,0
31/3/2026,MAT016,WH-A,19410,20/8/2026,0,0,0
31/1/2026,MAT017,WH-B,11740,20/8/2026,0,0,0
28/2/2026,MAT017,WH-B,11120,20/8/2026,0,0,0
31/3/2026,MAT017,WH-B,10500,20/8/2026,0,0,0
31/1/2026,MAT018,WH-C,500,,0,0,0
28/2/2026,MAT018,WH-C,340,,0,0,0
31/3/2026,MAT018,WH-C,160,,0,0,0
31/1/2026,MAT019,WH-D,13100,20/8/2026,0,0,0
28/2/2026,MAT019,WH-D,12200,20/8/2026,0,0,0
31/3/2026,MAT019,WH-D,11300,20/8/2026,0,0,0
31/1/2026,MAT020,WH-E,5360,,0,0,0
28/2/2026,MAT020,WH-E,5560,,0,0,0
31/3/2026,MAT020,WH-E,4760,,0,0,0
